date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2019-09-11,1568242928,0,0,0,1568070000,1568070000
2019-09-12,1568330647,0,0,0,1568156400,1568156400
2019-09-13,1568419630,0,0,0,1568242800,1568242800
2019-09-14,1568503266,0,430,0,1568382600,1568408400
2019-09-15,1568596458,0,0,0,1568415600,1568415600
2019-09-16,1568675017,0,0,0,1568502000,1568502000
2019-09-17,1568770040,0,0,0,1568588400,1568588400
2019-09-18,1568848025,228,559,2,1568775240,1568822580
2019-09-19,1568934608,0,0,0,1568761200,1568761200
2019-09-20,1569020527,27,134,0,1568947140,1568956800
2019-09-21,1569110466,0,0,0,1568934000,1568934000
2019-09-22,1569193448,0,0,0,1569020400,1569020400
2019-09-23,1569281286,0,0,0,1569106800,1569106800
2019-09-24,1569368406,0,0,0,1569193200,1569193200
2019-09-25,1569453007,0,0,0,1569279600,1569279600
2019-09-26,1569541506,0,0,0,1569366000,1569366000
2019-09-27,1569811144,0,51,0,1569552900,1569555960
2019-09-28,1569811145,0,0,0,1569538800,1569538800
2019-09-29,1569811145,0,0,0,1569625200,1569625200
2019-09-30,1569885437,128,293,0,1569776460,1569801720
2019-10-01,1569971179,0,0,0,1569798000,1569798000
2019-10-02,1570074485,103,217,3,1569964260,1569983640
2019-10-03,1570732689,0,0,0,1569970800,1569970800
2019-10-04,1570732689,0,88,0,1570148940,1570154220
2019-10-05,1570732689,72,191,0,1570229520,1570245300
2019-10-06,1570732689,0,0,0,1570230000,1570230000
2019-10-07,1570732689,50,228,0,1570410600,1570427280
2019-10-08,1570732689,112,451,0,1570469460,1570503240
2019-10-09,1570732690,78,270,0,1570565700,1570586580
2019-10-10,1570749847,37,184,0,1570669560,1570682820
2019-10-11,1570856837,151,541,31,1570742400,1570785780
2019-10-12,1570922366,0,0,0,1570748400,1570748400
2019-10-13,1571159467,37,163,0,1570929720,1570941720
2019-10-14,1571157669,0,0,0,1570921200,1570921200
2019-10-15,1571181066,104,309,0,1571087760,1571112540
2019-10-16,1571267406,100,337,3,1571177460,1571203860
2019-10-17,1571354827,142,399,0,1571259300,1571291760
2019-10-18,1571462626,0,0,0,1571266800,1571266800
2019-10-19,1571526547,92,397,0,1571433720,1571463060
2019-10-20,1571679488,132,525,41,1571527800,1571569680
2019-10-21,1571700307,164,495,0,1571612040,1571651580
2019-10-22,1571786826,93,584,11,1571700600,1571741880
2019-10-23,1571873706,46,278,0,1571782080,1571801520
2019-10-24,1571960467,93,257,0,1571872140,1571893140
2019-10-25,1572044886,75,537,2,1571964780,1572001620
2019-10-26,1572216247,69,488,0,1572055620,1572089040
2019-10-27,1572222607,0,0,0,1572044400,1572044400
2019-10-28,1572444127,11,91,0,1572219840,1572225960
2019-10-29,1572444128,0,162,6,1572319380,1572329460
2019-10-30,1572484627,61,389,0,1572413400,1572440400
2019-10-31,1572567728,0,0,0,1572393600,1572393600
2019-11-01,1574870771,0,0,0,1572480000,1572480000
2019-11-02,1574870765,0,0,0,1572566400,1572566400
2019-11-03,1574870765,114,461,0,1572751080,1572785580
2019-11-04,1574870770,0,0,0,1572739200,1572739200
2019-11-27,1574899567,0,0,0,1574726400,1574726400
2019-11-28,1574986029,0,0,0,1574812800,1574812800
2019-11-29,1575072728,158,350,0,1574964000,1574994480
2019-11-30,1575159668,35,329,10,1575071400,1575093840
2019-12-01,1575244930,0,0,0,1575072000,1575072000
2019-12-02,1575332049,168,334,0,1575227760,1575257880
2019-12-03,1577452389,41,216,0,1575337140,1575352560
2019-12-04,1577452389,157,215,0,1575419820,1575442140
2019-12-05,1577452390,62,109,11,1575522240,1575533160
2019-12-06,1577452389,0,0,0,1575504000,1575504000
2019-12-07,1577452388,0,0,0,1575590400,1575590400
2019-12-08,1577452388,26,51,0,1575760080,1575764700
2019-12-09,1577452389,0,0,0,1575763200,1575763200
2019-12-10,1577452393,0,0,0,1575849600,1575849600
2019-12-11,1577452393,0,0,0,1575936000,1575936000
2019-12-12,1577452394,0,0,0,1576022400,1576022400
2019-12-13,1577452394,0,0,0,1576108800,1576108800
2019-12-14,1577452393,0,0,0,1576195200,1576195200
2019-12-15,1577452393,0,0,0,1576281600,1576281600
2019-12-16,1577452393,0,0,0,1576368000,1576368000
2019-12-17,1577452393,0,0,0,1576454400,1576454400
2019-12-18,1577452392,0,0,0,1576540800,1576540800
2019-12-19,1577452392,71,306,0,1576692660,1576715280
2019-12-20,1577452392,50,279,6,1576800120,1576820220
2019-12-21,1577452391,0,0,0,1576800000,1576800000
2019-12-22,1577452390,0,0,0,1576886400,1576886400
2019-12-23,1577452392,45,334,0,1577037600,1577060340
2019-12-24,1577452392,101,238,3,1577126280,1577146800
2019-12-25,1577452389,0,0,0,1577145600,1577145600
2019-12-26,1577452389,89,489,0,1577296800,1577331480
2019-12-27,1577500205,37,244,0,1577408640,1577425500
2019-12-28,1577577608,32,196,0,1577502540,1577516220
2019-12-29,1577664786,0,0,0,1577491200,1577491200
2019-12-30,1577751245,134,453,0,1577665740,1577700960
2019-12-31,1577839506,0,0,0,1577664000,1577664000
2020-01-01,1577924466,0,0,0,1577750400,1577750400
2020-01-02,1578012247,273,579,6,1577901600,1577953080
2020-01-03,1578098888,0,0,0,1577923200,1577923200
2020-01-04,1578182585,182,616,8,1578074460,1578122820
2020-01-05,1578261248,56,395,2,1578200100,1578227280
2020-01-15,1579137387,0,0,0,1578960000,1578960000
2020-01-16,1579220529,0,0,0,1579046400,1579046400
2020-01-17,1579306021,65,574,10,1579231860,1579270800
2020-01-18,1579392480,0,0,0,1579219200,1579219200
2020-01-19,1579478882,0,0,0,1579305600,1579305600
2020-01-20,1579565108,0,0,0,1579392000,1579392000
2020-01-21,1579652761,178,597,5,1579568160,1579614960
2020-01-22,1579738081,0,0,0,1579564800,1579564800
2020-01-23,1579824833,171,622,11,1579747200,1579795440
2020-01-24,1579912081,0,0,0,1579737600,1579737600
2020-01-25,1579997821,96,298,0,1579904520,1579928160
2020-01-26,1580083382,24,181,18,1579986900,1580000280
2020-01-27,1580171107,115,426,9,1580063280,1580096280
2020-01-28,1580256120,0,0,0,1580083200,1580083200
2020-01-29,1580291127,0,0,0,1580169600,1580169600
