date,lastSyncTime,steps,distance,runDistance,calories
2019-09-11,1568242928,1582,1046,87,39
2019-09-12,1568330647,8474,5672,327,188
2019-09-13,1568419630,10326,6899,372,227
2019-09-14,1568503266,9313,6215,304,195
2019-09-15,1568596458,21521,14573,738,467
2019-09-16,1568675017,8491,5709,841,194
2019-09-17,1568770040,12940,8636,564,271
2019-09-18,1568848025,7441,4935,421,155
2019-09-19,1568934608,23478,15736,772,495
2019-09-20,1569020527,10436,6973,379,214
2019-09-21,1569110466,7521,4993,481,167
2019-09-22,1569193448,7698,5113,388,164
2019-09-23,1569281286,8148,5453,579,175
2019-09-24,1569368406,10408,6936,477,218
2019-09-25,1569453007,14921,10188,1797,337
2019-09-26,1569541506,6624,4514,856,149
2019-09-27,1569811144,8382,5808,427,193
2019-09-28,1569811145,17557,12755,4168,486
2019-09-29,1569811145,6619,4458,723,148
2019-09-30,1569885437,21254,14270,1001,442
2019-10-01,1569971179,10605,7462,2243,263
2019-10-02,1570074485,4809,3382,934,128
2019-10-03,1570732689,10522,7482,1614,262
2019-10-04,1570732689,7353,5313,2090,203
2019-10-05,1570732689,2269,1570,412,63
2019-10-06,1570732689,12002,8003,616,255
2019-10-07,1570732689,4186,2782,287,89
2019-10-08,1570732689,9872,6571,508,212
2019-10-09,1570732690,21616,14799,1173,469
2019-10-10,1570749847,13964,9757,438,318
2019-10-11,1570856837,7910,5330,330,166
2019-10-12,1570922366,17902,11956,702,373
2019-10-13,1571159467,3397,2283,330,78
2019-10-14,1571157669,7111,4735,322,154
2019-10-15,1571181066,16012,11479,1515,399
2019-10-16,1571267406,10176,7269,1856,261
2019-10-17,1571354827,6243,4455,589,157
2019-10-18,1571462626,9061,6110,1029,202
2019-10-19,1571526547,8016,5513,1229,189
2019-10-20,1571679488,4230,2885,479,101
2019-10-21,1571700307,8455,5896,1256,206
2019-10-22,1571786826,3403,2439,848,96
2019-10-23,1571873706,11042,8008,1875,293
2019-10-24,1571960467,16358,11622,1090,387
2019-10-25,1572044886,11570,8254,322,270
2019-10-26,1572216247,8844,6076,693,204
2019-10-27,1572222607,2111,1396,205,51
2019-10-28,1572444127,25363,16950,436,525
2019-10-29,1572444128,20948,14037,419,434
2019-10-30,1572484627,18537,12853,550,407
2019-10-31,1572567728,15411,10713,363,343
2019-11-01,1574870771,30243,20446,491,639
2019-11-02,1574870765,55574,37913,927,1164
2019-11-03,1574870765,591,391,74,17
2019-11-04,1574870770,0,0,0,0
2019-11-27,1574899567,0,0,0,0
2019-11-28,1574986029,3157,2091,190,69
2019-11-29,1575072728,6141,4091,425,135
2019-11-30,1575159668,5712,3798,243,124
2019-12-01,1575244930,9496,6313,295,196
2019-12-02,1575332049,11481,7629,538,241
2019-12-03,1577452389,10870,7247,727,235
2019-12-04,1577452389,5423,3604,387,122
2019-12-05,1577452390,6200,4118,450,138
2019-12-06,1577452389,3351,2243,290,80
2019-12-07,1577452388,2990,1979,409,79
2019-12-08,1577452388,2957,1966,247,71
2019-12-09,1577452389,6777,4503,414,141
2019-12-10,1577452393,20725,14243,581,439
2019-12-11,1577452393,9696,6434,578,209
2019-12-12,1577452394,13438,9144,924,292
2019-12-13,1577452394,9485,6354,440,205
2019-12-14,1577452393,11460,7608,410,247
2019-12-15,1577452393,8080,5361,382,170
2019-12-16,1577452393,10575,7062,437,232
2019-12-17,1577452393,10707,7147,402,225
2019-12-18,1577452392,7108,4763,568,157
2019-12-19,1577452392,14781,9884,699,315
2019-12-20,1577452392,7098,4725,439,161
2019-12-21,1577452391,6342,4327,643,150
2019-12-22,1577452390,253,167,21,6
2019-12-23,1577452392,6998,4754,232,151
2019-12-24,1577452392,3736,2473,154,86
2019-12-25,1577452389,5398,3584,367,121
2019-12-26,1577452389,10529,7487,397,248
2019-12-27,1577500205,2601,1757,211,61
2019-12-28,1577577608,8951,6040,370,194
2019-12-29,1577664786,22872,15695,760,497
2019-12-30,1577751245,3664,2516,176,82
2019-12-31,1577839506,3268,2162,282,76
2020-01-01,1577924466,9086,6068,569,191
2020-01-02,1578012247,37582,26643,600,832
2020-01-03,1578098888,14473,9815,527,306
2020-01-04,1578182585,14451,9868,569,318
2020-01-05,1578261248,6500,4326,348,145
2020-01-15,1579137387,7018,4683,299,142
2020-01-16,1579220529,12681,8430,538,273
2020-01-17,1579306021,6895,4586,478,145
2020-01-18,1579392480,13684,9140,613,288
2020-01-19,1579478882,13125,8976,333,281
2020-01-20,1579565108,19363,13108,609,408
2020-01-21,1579652761,4910,3264,355,112
2020-01-22,1579738081,8908,5942,312,194
2020-01-23,1579824833,9719,6647,272,206
2020-01-24,1579912081,33345,23160,544,722
2020-01-25,1579997821,5325,3522,359,115
2020-01-26,1580083382,14632,9764,445,313
2020-01-27,1580171107,16817,11396,408,364
2020-01-28,1580256120,17941,12140,557,382
2020-01-29,1580291127,11195,7577,235,236
